"규모별","산업별","항목","단위","1997 년","1996 년","1995 년","1994 년",
"전규모(30인이상)","목재 및 나무제품 제조업(가구제외)","노동비용총액[천원]","천원","1676.4","1511","1335.1","1507.7",
"전규모(30인이상)","목재 및 나무제품 제조업(가구제외)","현금급여총계[천원]","천원","1211.4","1164.1","1053.3","937.7",
"전규모(30인이상)","목재 및 나무제품 제조업(가구제외)","정액및초과[천원]","천원","1040.3","997.9","886.8","775.3",
"전규모(30인이상)","목재 및 나무제품 제조업(가구제외)","상여금등특별급여[천원]","천원","171.1","166.1","166.5","162.3",
"전규모(30인이상)","목재 및 나무제품 제조업(가구제외)","현금급여외 노동비용(계)[천원]","천원","465","347","281.8","570",
"전규모(30인이상)","목재 및 나무제품 제조업(가구제외)","퇴직금등비용[천원]","천원","212.3","122.8","86.2","385.7",
"전규모(30인이상)","목재 및 나무제품 제조업(가구제외)","현물지급비용[천원]","천원","3.7",".1","0",".1",
"전규모(30인이상)","목재 및 나무제품 제조업(가구제외)","법정복리비[천원]","천원","102.9","83.4","71.5","66.4",
"전규모(30인이상)","목재 및 나무제품 제조업(가구제외)","법정외복리비[천원]","천원","117","123","100.7","103.3",
"전규모(30인이상)","목재 및 나무제품 제조업(가구제외)","모집비[천원]","천원","10.5",".6","3.1",".1",
"전규모(30인이상)","목재 및 나무제품 제조업(가구제외)","교육훈련비[천원]","천원","9.2","10.7","14.1","11.3",
"전규모(30인이상)","목재 및 나무제품 제조업(가구제외)","기타노동비용[천원]","천원","9.4","6.5","6.2","3",
"전규모(30인이상)","펄프, 종이 및 종이제품 제조업","노동비용총액[천원]","천원","1953.9","1705.8","1462.6","1400.9",
"전규모(30인이상)","펄프, 종이 및 종이제품 제조업","현금급여총계[천원]","천원","1477.3","1368.8","1191.9","1099",
"전규모(30인이상)","펄프, 종이 및 종이제품 제조업","정액및초과[천원]","천원","1126.2","1036.2","924.2","851.8",
"전규모(30인이상)","펄프, 종이 및 종이제품 제조업","상여금등특별급여[천원]","천원","351.1","332.7","267.7","247.1",
"전규모(30인이상)","펄프, 종이 및 종이제품 제조업","현금급여외 노동비용(계)[천원]","천원","476.7","336.9","270.7","301.9",
"전규모(30인이상)","펄프, 종이 및 종이제품 제조업","퇴직금등비용[천원]","천원","198.3","86.8","92.8","81",
"전규모(30인이상)","펄프, 종이 및 종이제품 제조업","현물지급비용[천원]","천원","0",".2",".1",".6",
"전규모(30인이상)","펄프, 종이 및 종이제품 제조업","법정복리비[천원]","천원","97.4","69.8","58.1","48.6",
"전규모(30인이상)","펄프, 종이 및 종이제품 제조업","법정외복리비[천원]","천원","147.3","153.8","108","159.3",
"전규모(30인이상)","펄프, 종이 및 종이제품 제조업","모집비[천원]","천원","1","2.3","2",".6",
"전규모(30인이상)","펄프, 종이 및 종이제품 제조업","교육훈련비[천원]","천원","25.8","16.4","4.6","5.7",
"전규모(30인이상)","펄프, 종이 및 종이제품 제조업","기타노동비용[천원]","천원","6.8","7.8","5.1","6.1",
"전규모(30인이상)","출판, 인쇄 및 기록매체 복제업","노동비용총액[천원]","천원","2437.1","1818","1741.6","1498.2",
"전규모(30인이상)","출판, 인쇄 및 기록매체 복제업","현금급여총계[천원]","천원","1646.4","1490","1284.4","1163.7",
"전규모(30인이상)","출판, 인쇄 및 기록매체 복제업","정액및초과[천원]","천원","1240.3","1147","990.6","901.9",
"전규모(30인이상)","출판, 인쇄 및 기록매체 복제업","상여금등특별급여[천원]","천원","406.2","343","293.8","261.8",
"전규모(30인이상)","출판, 인쇄 및 기록매체 복제업","현금급여외 노동비용(계)[천원]","천원","790.7","328","457.2","334.5",
"전규모(30인이상)","출판, 인쇄 및 기록매체 복제업","퇴직금등비용[천원]","천원","510.8","129.1","296.1","151.3",
"전규모(30인이상)","출판, 인쇄 및 기록매체 복제업","현물지급비용[천원]","천원","1.9",".7",".2","0",
"전규모(30인이상)","출판, 인쇄 및 기록매체 복제업","법정복리비[천원]","천원","88.3","65.3","70","41.4",
"전규모(30인이상)","출판, 인쇄 및 기록매체 복제업","법정외복리비[천원]","천원","160.7","93.8","60.7","114.5",
"전규모(30인이상)","출판, 인쇄 및 기록매체 복제업","모집비[천원]","천원","1.8","2.1","1.7","3.9",
"전규모(30인이상)","출판, 인쇄 및 기록매체 복제업","교육훈련비[천원]","천원","19.4","33.5","25.2","18.8",
"전규모(30인이상)","출판, 인쇄 및 기록매체 복제업","기타노동비용[천원]","천원","7.7","3.4","3.3","4.5",
"전규모(30인이상)","코크스, 석유 정제품 및 핵연료 제조업","노동비용총액[천원]","천원","3025.7","2782.8","2636.1","2434.4",
"전규모(30인이상)","코크스, 석유 정제품 및 핵연료 제조업","현금급여총계[천원]","천원","2334.1","2128.9","1913.2","1774.2",
"전규모(30인이상)","코크스, 석유 정제품 및 핵연료 제조업","정액및초과[천원]","천원","1532.7","1424.3","1268.6","1178.6",
"전규모(30인이상)","코크스, 석유 정제품 및 핵연료 제조업","상여금등특별급여[천원]","천원","801.4","704.6","644.6","595.5",
"전규모(30인이상)","코크스, 석유 정제품 및 핵연료 제조업","현금급여외 노동비용(계)[천원]","천원","691.6","653.9","722.9","660.2",
"전규모(30인이상)","코크스, 석유 정제품 및 핵연료 제조업","퇴직금등비용[천원]","천원","282.4","216.9","301.6","257.9",
"전규모(30인이상)","코크스, 석유 정제품 및 핵연료 제조업","현물지급비용[천원]","천원","0","7.5",".6","1",
"전규모(30인이상)","코크스, 석유 정제품 및 핵연료 제조업","법정복리비[천원]","천원","105.1","101.9","78.1","61",
"전규모(30인이상)","코크스, 석유 정제품 및 핵연료 제조업","법정외복리비[천원]","천원","237","227.9","222.1","228.9",
"전규모(30인이상)","코크스, 석유 정제품 및 핵연료 제조업","모집비[천원]","천원","1.6","2.7","6.3","3.4",
"전규모(30인이상)","코크스, 석유 정제품 및 핵연료 제조업","교육훈련비[천원]","천원","46.9","82.6","101.7","96.2",
"전규모(30인이상)","코크스, 석유 정제품 및 핵연료 제조업","기타노동비용[천원]","천원","18.7","14.4","12.5","11.9",
"전규모(30인이상)","화합물 및 화학제품 제조업","노동비용총액[천원]","천원","2238.5","2021.2","1765.6","1509.4",
"전규모(30인이상)","화합물 및 화학제품 제조업","현금급여총계[천원]","천원","1668.5","1521.4","1370.7","1209",
"전규모(30인이상)","화합물 및 화학제품 제조업","정액및초과[천원]","천원","1171.5","1072.5","962.3","860.4",
"전규모(30인이상)","화합물 및 화학제품 제조업","상여금등특별급여[천원]","천원","497","449","408.4","348.5",
"전규모(30인이상)","화합물 및 화학제품 제조업","현금급여외 노동비용(계)[천원]","천원","570.1","499.8","394.9","300.4",
"전규모(30인이상)","화합물 및 화학제품 제조업","퇴직금등비용[천원]","천원","236.1","278.9","220.1","118",
"전규모(30인이상)","화합물 및 화학제품 제조업","현물지급비용[천원]","천원","9.5","1.3",".7",".9",
"전규모(30인이상)","화합물 및 화학제품 제조업","법정복리비[천원]","천원","75.7","65.3","47.7","48",
"전규모(30인이상)","화합물 및 화학제품 제조업","법정외복리비[천원]","천원","187.2","124.5","105.6","109.4",
"전규모(30인이상)","화합물 및 화학제품 제조업","모집비[천원]","천원","2","1.3","2.4","2.1",
"전규모(30인이상)","화합물 및 화학제품 제조업","교육훈련비[천원]","천원","39.9","22.1","13.9","16.9",
"전규모(30인이상)","화합물 및 화학제품 제조업","기타노동비용[천원]","천원","19.7","6.3","4.5","5.2",
"전규모(30인이상)","고무 및 플라스틱 제품 제조업","노동비용총액[천원]","천원","1865","1540.2","1438.7","1324.7",
"전규모(30인이상)","고무 및 플라스틱 제품 제조업","현금급여총계[천원]","천원","1276.9","1171.8","1081.8","980.5",
"전규모(30인이상)","고무 및 플라스틱 제품 제조업","정액및초과[천원]","천원","1027.5","966.9","869.4","786.8",
"전규모(30인이상)","고무 및 플라스틱 제품 제조업","상여금등특별급여[천원]","천원","249.4","204.8","212.4","193.7",
"전규모(30인이상)","고무 및 플라스틱 제품 제조업","현금급여외 노동비용(계)[천원]","천원","588.1","368.5","356.9","344.2",
"전규모(30인이상)","고무 및 플라스틱 제품 제조업","퇴직금등비용[천원]","천원","283.6","74.2","155.1","159",
"전규모(30인이상)","고무 및 플라스틱 제품 제조업","현물지급비용[천원]","천원","1.1","6.1",".7","3.7",
"전규모(30인이상)","고무 및 플라스틱 제품 제조업","법정복리비[천원]","천원","81.3","73.5","54.3","48.3",
"전규모(30인이상)","고무 및 플라스틱 제품 제조업","법정외복리비[천원]","천원","191.5","172.9","123.2","107.9",
"전규모(30인이상)","고무 및 플라스틱 제품 제조업","모집비[천원]","천원","1.4","2.4","1.5","1.6",
"전규모(30인이상)","고무 및 플라스틱 제품 제조업","교육훈련비[천원]","천원","19","27.3","17.7","18.4",
"전규모(30인이상)","고무 및 플라스틱 제품 제조업","기타노동비용[천원]","천원","10.2","12","4.4","5.1",
"전규모(30인이상)","비금속 광물제품 제조업","노동비용총액[천원]","천원","2146.6","1725.2","1509.9","1490.1",
"전규모(30인이상)","비금속 광물제품 제조업","현금급여총계[천원]","천원","1492.3","1303.7","1213.5","1083.8",
"전규모(30인이상)","비금속 광물제품 제조업","정액및초과[천원]","천원","1118.8","1012.7","937.8","832",
"전규모(30인이상)","비금속 광물제품 제조업","상여금등특별급여[천원]","천원","373.5","291.1","275.7","251.8",
"전규모(30인이상)","비금속 광물제품 제조업","현금급여외 노동비용(계)[천원]","천원","654.2","421.4","296.4","406.3",
"전규모(30인이상)","비금속 광물제품 제조업","퇴직금등비용[천원]","천원","371.3","140.3","102.3","221",
"전규모(30인이상)","비금속 광물제품 제조업","현물지급비용[천원]","천원","1.1","4.2","1.3","8.2",
"전규모(30인이상)","비금속 광물제품 제조업","법정복리비[천원]","천원","102.2","78.1","56.8","53.5",
"전규모(30인이상)","비금속 광물제품 제조업","법정외복리비[천원]","천원","149.2","179.9","120.3","107.3",
"전규모(30인이상)","비금속 광물제품 제조업","모집비[천원]","천원",".5","2.7","1.4",".8",
"전규모(30인이상)","비금속 광물제품 제조업","교육훈련비[천원]","천원","20.3","11","10.7","10.1",
"전규모(30인이상)","비금속 광물제품 제조업","기타노동비용[천원]","천원","9.6","5.2","3.6","5.4",
"전규모(30인이상)","제1차 금속산업","노동비용총액[천원]","천원","2313.4","2085.3","1894.3","1940.1",
"전규모(30인이상)","제1차 금속산업","현금급여총계[천원]","천원","1738.6","1686.9","1580.2","1540.5",
"전규모(30인이상)","제1차 금속산업","정액및초과[천원]","천원","1238.3","1171.4","1120.8","1018.2",
"전규모(30인이상)","제1차 금속산업","상여금등특별급여[천원]","천원","500.3","515.5","459.4","522.2",
"전규모(30인이상)","제1차 금속산업","현금급여외 노동비용(계)[천원]","천원","574.9","398.4","314.1","399.6",
"전규모(30인이상)","제1차 금속산업","퇴직금등비용[천원]","천원","226","129.5","105.7","182.7",
"전규모(30인이상)","제1차 금속산업","현물지급비용[천원]","천원",".3",".2",".4","2.4",
"전규모(30인이상)","제1차 금속산업","법정복리비[천원]","천원","103","83","65.7","64.3",
"전규모(30인이상)","제1차 금속산업","법정외복리비[천원]","천원","151.9","149.1","115.6","124",
"전규모(30인이상)","제1차 금속산업","모집비[천원]","천원",".5","1.9","1.1",".7",
"전규모(30인이상)","제1차 금속산업","교육훈련비[천원]","천원","67.6","24.3","18.9","19.4",
"전규모(30인이상)","제1차 금속산업","기타노동비용[천원]","천원","25.6","10.4","6.7","6.2",
"전규모(30인이상)","조립금속제품 제조업","노동비용총액[천원]","천원","1805.5","1641.6","1466.6","1318.5",
"전규모(30인이상)","조립금속제품 제조업","현금급여총계[천원]","천원","1300.1","1221.7","1051.6","987.1",
"전규모(30인이상)","조립금속제품 제조업","정액및초과[천원]","천원","1037.7","971.3","883","805.4",
"전규모(30인이상)","조립금속제품 제조업","상여금등특별급여[천원]","천원","262.4","250.4","168.6","181.7",
"전규모(30인이상)","조립금속제품 제조업","현금급여외 노동비용(계)[천원]","천원","505.4","419.9","415","331.4",
"전규모(30인이상)","조립금속제품 제조업","퇴직금등비용[천원]","천원","237.7","135.1","155.5","85.6",
"전규모(30인이상)","조립금속제품 제조업","현물지급비용[천원]","천원","1.7",".3",".5","1",
"전규모(30인이상)","조립금속제품 제조업","법정복리비[천원]","천원","82.5","98.9","79.5","70.6",
"전규모(30인이상)","조립금속제품 제조업","법정외복리비[천원]","천원","156.7","151.8","137.4","139.3",
"전규모(30인이상)","조립금속제품 제조업","모집비[천원]","천원","1.2",".6","2.1",".5",
"전규모(30인이상)","조립금속제품 제조업","교육훈련비[천원]","천원","18.8","20.5","25.5","27.1",
"전규모(30인이상)","조립금속제품 제조업","기타노동비용[천원]","천원","6.7","12.6","14.5","7.2",
"전규모(30인이상)","달리 분류되지 않은 기계 및 장비 제조업","노동비용총액[천원]","천원","1899.4","1708.5","1554.3","1404.9",
"전규모(30인이상)","달리 분류되지 않은 기계 및 장비 제조업","현금급여총계[천원]","천원","1438.1","1354.1","1255.8","1134.4",
"전규모(30인이상)","달리 분류되지 않은 기계 및 장비 제조업","정액및초과[천원]","천원","1125.2","1049.4","967.5","869.6",
"전규모(30인이상)","달리 분류되지 않은 기계 및 장비 제조업","상여금등특별급여[천원]","천원","312.9","304.7","288.3","264.8",
"전규모(30인이상)","달리 분류되지 않은 기계 및 장비 제조업","현금급여외 노동비용(계)[천원]","천원","461.3","354.4","298.5","270.5",
"전규모(30인이상)","달리 분류되지 않은 기계 및 장비 제조업","퇴직금등비용[천원]","천원","195.5","114.6","98","91.8",
"전규모(30인이상)","달리 분류되지 않은 기계 및 장비 제조업","현물지급비용[천원]","천원","10","2.1","1",".5",
"전규모(30인이상)","달리 분류되지 않은 기계 및 장비 제조업","법정복리비[천원]","천원","79.9","71.7","62.5","53.7",
"전규모(30인이상)","달리 분류되지 않은 기계 및 장비 제조업","법정외복리비[천원]","천원","129","126.9","113.8","102.6",
"전규모(30인이상)","달리 분류되지 않은 기계 및 장비 제조업","모집비[천원]","천원","1.1","3.9","3.3","3",
"전규모(30인이상)","달리 분류되지 않은 기계 및 장비 제조업","교육훈련비[천원]","천원","38.6","22.3","14.4","14.1",
